BUSNUMBER	GETON	GETOFF	TOTAL
1	105	272603	45630	318233
2	502	219237	36202	255439
3	823	148817	24779	173596
4	831	144636	28768	173404
5	832	130068	25980	156048
6	30-1	115094	31443	146537
7	30-2	112913	26769	139682
8	405	110171	20327	130498
9	111	97823	17123	114946
10	412	88183	25580	113763
11	713	91224	19997	111221
12	824	90890	18762	109652
13	711	85260	17435	102695
14	516	76409	15619	92028
15	511	76258	12240	88498
16	311	73780	14695	88475
17	611	60761	12690	73451
18	211	52552	12606	65158
19	115	48034	8875	56909
20	811-2	47966	7643	55609
21	717	48455	6878	55333
22	811-1	42519	11969	54488
23	712	44372	9520	53892
24	851	46514	5768	52282
25	513	44526	7380	51906
26	20-1	42434	7699	50133
27	20-2	40704	8935	49639
28	822-1	40998	6201	47199
29	826	39358	7085	46443
30	40-1	34966	9686	44652
31	822-2	35813	6944	42757
32	841	34697	8036	42733
33	10-2	34704	4756	39460
34	713-1	32282	6898	39180
35	40-2	32300	6730	39030
36	500	32550	5410	37960
37	10-1	29929	5881	35810
38	747	26358	4767	31125
39	843	27544	2402	29946
40	512	22835	4327	27162
41	872-1	18527	4523	23050
42	871	17922	4086	22008
43	514	17206	3157	20363
44	842-1	15573	2937	18510
45	211-2	14828	3631	18459
46	314	15089	2709	17798
47	842-2	14565	2984	17549
48	407	13804	2769	16573
49	872	13250	3194	16444
50	812	14352	1934	16286
51	861	10685	5092	15777
52	922	12211	3554	15765
53	917	11304	2552	13856
54	920	11200	2291	13491
55	862	9348	3809	13157
56	916-2	10552	2108	12660
57	913	10569	1746	12315
58	916-1	9717	2128	11845
59	918	9402	2159	11561
60	113	9762	1707	11469
61	921-1	7993	2175	10168
62	112	8320	1677	9997
63	313	8321	1457	9778
64	517	8046	1474	9520
65	525	9043	164	9207
66	915	6865	2003	8868
67	914	6688	1718	8406
68	912	6861	1295	8156
69	315	6563	1358	7921
70	719	6421	1287	7708
71	416	5978	1505	7483
72	217	5388	1648	7036
73	720	5761	1252	7013
74	216-1	5827	1124	6951
75	216	5364	1309	6673
76	211-1	5418	1252	6670
77	417	5429	1224	6653
78	115-1	5143	1246	6389
79	919	4794	1019	5813
80	921	4540	1215	5755
81	718	4585	945	5530
82	212-3	4174	1227	5401
83	841-1	4046	1001	5047
84	911	4081	825	4906
85	215-1	3914	726	4640
86	715	3465	990	4455
87	721	3528	681	4209
88	414	3150	983	4133
89	214	2752	657	3409
90	720-1	2689	486	3175
91	722	2514	414	2928
92	864	1903	869	2772
93	852-2	2348	245	2593
94	415	1932	654	2586
95	213	2050	459	2509
96	413	1945	486	2431
97	515	1940	324	2264
98	513-1	1921	304	2225
99	215	1649	485	2134
100	616	1740	287	2027
101	212	1545	399	1944
102	750	1710	138	1848
103	117	1531	193	1724
104	212-1	1358	325	1683
105	419	1312	215	1527
106	716	1142	327	1469
107	863	786	530	1316
108	218	950	353	1303
109	311-1	1091	195	1286
110	617	1048	203	1251
111	313-1	1051	183	1234
112	512-1	720	132	852
113	612	539	83	622
114	712-1	363	171	534
115	315-1	398	74	472
116	512-2	372	78	450
117	57	421	13	434
118	418	329	54	383
119	119	271	79	350
120	53	251	11	262
121	751	255	6	261
122	417-1	212	32	244
123	412-1	208	24	232
124	918-1	127	88	215
125	213-2	156	46	202
126	714	93	24	117
127	615	94	22	116
128	213-1	52	9	61
129	713-2	19	9	28
130	715-1	13	10	23
131	613	9	1	10
132	302	1	0	1
